,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
238,Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,9.1,7.566666666666666,5.3,2009.0
239,The Forest,PC,Endnight Games Ltd,Unknown,8.3,7.3,5.3,2014.0
240,Donkey Kong 64,N64,Nintendo,Rare Ltd.,9.3,9.0,5.27,1999.0
241,Just Dance 2,Wii,Ubisoft,Ubisoft Paris,7.3,7.233333333333334,5.25,2010.0
242,Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,7.6,6.400000000000001,5.24,1997.0
243,Madden NFL 2004,PS2,EA Sports,EA Tiburon,9.5,5.733333333333334,5.23,2003.0
244,Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,8.3,5.5,5.22,2014.0
245,Fallout: New Vegas,PC,Bethesda Softworks,Obsidian Entertainment,8.3,7.7,5.22,2010.0
246,Gran Turismo 6,PS3,Sony Computer Entertainment America,Polyphony Digital,8.033333333333333,8.133333333333333,5.22,2013.0
247,Kingdom Hearts II,PS2,Square Enix,Square Enix,8.3,7.533333333333334,5.2,2006.0
248,Nintendo Land,WiiU,Nintendo,Nintendo,7.8,7.9,5.2,2012.0
249,Super Mario Land 3: Wario Land,GB,Nintendo,Nintendo R&D1,7.9,8.233333333333334,5.19,1994.0
250,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,9.3,9.0,5.15,1995.0
251,Medal of Honor: Rising Sun,PS2,Electronic Arts,EA Los Angeles,5.9,6.366666666666667,5.13,2003.0
252,Battlefield 1,XOne,Electronic Arts,EA DICE,9.3,7.6,5.13,2016.0
253,Kirby's Dream Land,GB,Nintendo,HAL Laboratory,8.533333333333333,9.066666666666666,5.13,1992.0
254,Microsoft Flight Simulator,PC,Microsoft,Microsoft,7.0,7.366666666666667,5.12,1996.0
255,Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,9.2,6.3,5.12,2006.0
256,FIFA 13,X360,EA Sports,EA Canada,7.666666666666667,5.2,5.11,2012.0
257,Resident Evil 5,PS3,Capcom,Capcom,8.6,8.8,5.1,2009.0
